image,cve_id,package,n_scanners,scanners
python-3.9-slim-bookworm,CVE-2026-42013,libgnutls30,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-42014,libgnutls30,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-42015,libgnutls30,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-5260,libgnutls30,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-5419,libgnutls30,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-37371,libgssapi-krb5-2,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-37370,libgssapi-krb5-2,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-26462,libgssapi-krb5-2,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-24528,libgssapi-krb5-2,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-3576,libgssapi-krb5-2,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-40355,libgssapi-krb5-2,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-40356,libgssapi-krb5-2,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2018-5709,libgssapi-krb5-2,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-26458,libgssapi-krb5-2,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-26461,libgssapi-krb5-2,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-37371,libk5crypto3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-37370,libk5crypto3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-26462,libk5crypto3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-24528,libk5crypto3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2025-3576,libk5crypto3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-40355,libk5crypto3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2026-40356,libk5crypto3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2018-5709,libk5crypto3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-26458,libk5crypto3,2,"grype,trivy"
python-3.9-slim-bookworm,CVE-2024-26461,libk5crypto3,2,"grype,trivy"
