image,cve_id,package,n_scanners,scanners
nginx-1.20,CVE-2022-4450,openssl,3,"grype,scout,trivy"
nginx-1.20,CVE-2023-0215,openssl,3,"grype,scout,trivy"
nginx-1.20,CVE-2023-0286,openssl,3,"grype,scout,trivy"
nginx-1.20,CVE-2023-0464,openssl,3,"grype,scout,trivy"
nginx-1.20,CVE-2025-69419,openssl,3,"grype,scout,trivy"
nginx-1.20,CVE-2025-69421,openssl,3,"grype,scout,trivy"
nginx-1.20,CVE-2026-28387,openssl,3,"grype,scout,trivy"
nginx-1.20,CVE-2026-28388,openssl,3,"grype,scout,trivy"
nginx-1.20,CVE-2026-28389,openssl,3,"grype,scout,trivy"
nginx-1.20,CVE-2026-28390,openssl,3,"grype,scout,trivy"
nginx-1.20,CVE-2022-2097,openssl,3,"grype,scout,trivy"
nginx-1.20,CVE-2022-4304,openssl,3,"grype,scout,trivy"
nginx-1.20,CVE-2023-0465,openssl,3,"grype,scout,trivy"
nginx-1.20,CVE-2023-0466,openssl,3,"grype,scout,trivy"
nginx-1.20,CVE-2023-2650,openssl,3,"grype,scout,trivy"
nginx-1.20,CVE-2023-3446,openssl,3,"grype,scout,trivy"
nginx-1.20,CVE-2023-3817,openssl,3,"grype,scout,trivy"
nginx-1.20,CVE-2023-5678,openssl,3,"grype,scout,trivy"
nginx-1.20,CVE-2024-0727,openssl,3,"grype,scout,trivy"
nginx-1.20,CVE-2024-13176,openssl,3,"grype,scout,trivy"
nginx-1.20,CVE-2024-4741,openssl,3,"grype,scout,trivy"
nginx-1.20,CVE-2024-5535,openssl,3,"grype,scout,trivy"
nginx-1.20,CVE-2025-68160,openssl,3,"grype,scout,trivy"
nginx-1.20,CVE-2025-69418,openssl,3,"grype,scout,trivy"
nginx-1.20,CVE-2025-69420,openssl,3,"grype,scout,trivy"
nginx-1.20,CVE-2025-9230,openssl,3,"grype,scout,trivy"
nginx-1.20,CVE-2026-22795,openssl,3,"grype,scout,trivy"
nginx-1.20,CVE-2026-22796,openssl,3,"grype,scout,trivy"
nginx-1.20,CVE-2024-2511,openssl,3,"grype,scout,trivy"
nginx-1.20,CVE-2024-9143,openssl,3,"grype,scout,trivy"
nginx-1.20,CVE-2025-27587,openssl,3,"grype,scout,trivy"
nginx-1.20,CVE-2005-2541,tar,3,"grype,scout,trivy"
nginx-1.20,CVE-2022-48303,tar,3,"grype,scout,trivy"
nginx-1.20,CVE-2023-39804,tar,3,"grype,scout,trivy"
nginx-1.20,CVE-2024-28085,util-linux,3,"grype,scout,trivy"
nginx-1.20,CVE-2022-0563,util-linux,3,"grype,scout,trivy"
nginx-1.20,CVE-2025-14104,util-linux,3,"grype,scout,trivy"
debian-bullseye-slim,CVE-2011-3374,apt,3,"grype,scout,trivy"
debian-bullseye-slim,CVE-2017-18018,coreutils,3,"grype,scout,trivy"
debian-bullseye-slim,CVE-2025-5278,coreutils,3,"grype,scout,trivy"
debian-bullseye-slim,CVE-2026-41989,libgcrypt20,3,"grype,scout,trivy"
debian-bullseye-slim,CVE-2018-6829,libgcrypt20,3,"grype,scout,trivy"
debian-bullseye-slim,CVE-2024-2236,libgcrypt20,3,"grype,scout,trivy"
debian-bullseye-slim,CVE-2005-2541,tar,3,"grype,scout,trivy"
debian-bullseye-slim,CVE-2022-0563,util-linux,3,"grype,scout,trivy"
debian-bullseye-slim,CVE-2025-14104,util-linux,3,"grype,scout,trivy"
